Candidate Ref,DOJ Extended,D-DOJ Extended ,Duration to accept offer,Notice period,Offered band,E0,E1,E2,E3,E4,E5,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,D-Joining Bonus,Candidate relocate actual,Gender,Candidate Source,D-Agency,D-Employee Referral,Rex in Yrs,LOB,D-Sales,D-Healthcare,D-Infra,D-AXON,Location,D-Bangalore,D-Chennai,D-Mumbai,D-Delhi NCR,D-Hyderabad,Age,Status,D-Joining
2138169,No,0,1,30,E1,0,1,0,0,0,0,-22.22,-22.22,0,No,0,No,Female,Employee Referral,0,1,3,BFSI,0,0,0,0,Gurgaon,0,0,0,1,0,26,Joined,1
2143362,No,0,6,30,E1,0,1,0,0,0,0,240,220,-5.88,No,0,No,Male,Employee Referral,0,1,3,CSMP,0,0,0,0,Chennai,0,1,0,0,0,34,Joined,1
2151180,No,0,120,30,E2,0,0,1,0,0,0,5.26,-60.53,-62.5,No,0,No,Male,Employee Referral,0,1,3,INFRA,0,0,1,0,Noida,0,0,0,1,0,34,Not Joined,0
2154264,No,0,3,0,E2,0,0,1,0,0,0,28.21,37.18,7,No,0,No,Male,Employee Referral,0,1,7,INFRA,0,0,1,0,Chennai,0,1,0,0,0,34,Joined,1
2156236,Yes,1,14,30,E2,0,0,1,0,0,0,50,287.5,158.33,No,0,No,Male,Agency,1,0,7,INFRA,0,0,1,0,Noida,0,0,0,1,0,29,Not Joined,0
2158703,No,0,44,75,E2,0,0,1,0,0,0,45.45,60,10,No,0,No,Male,Direct,0,0,8,INFRA,0,0,1,0,Noida,0,0,0,1,0,34,Not Joined,0
2161257,No,0,7,30,E3,0,0,0,1,0,0,53.85,50,-2.5,No,0,No,Male,Employee Referral,0,1,5,INFRA,0,0,1,0,Noida,0,0,0,1,0,34,Not Joined,0
2162487,No,0,1,30,E3,0,0,0,1,0,0,-27.31,-27.31,0,No,0,No,Male,Direct,0,0,18,ETS,0,0,0,0,Bangalore,1,0,0,0,0,34,Joined,1
2166041,Yes,1,98,30,E2,0,0,1,0,0,0,50,165.36,76.91,No,0,No,Male,Agency,1,0,8,INFRA,0,0,1,0,Noida,0,0,0,1,0,36,Not Joined,0
2172982,No,0,1,0,E2,0,0,1,0,0,0,30,30,0,No,0,No,Male,Direct,0,0,6,INFRA,0,0,1,0,Noida,0,0,0,1,0,34,Joined,1
2173730,No,0,1,30,E1,0,1,0,0,0,0,-13.42,42.86,65,No,0,No,Male,Direct,0,0,1,INFRA,0,0,1,0,Gurgaon,0,0,0,1,0,34,Joined,1
2175237,No,0,7,30,E1,0,1,0,0,0,0,221.43,164.29,-17.78,No,0,No,Male,Direct,0,0,2,ERS,0,0,0,0,Noida,0,0,0,1,0,34,Joined,1
2175323,No,0,1,0,E3,0,0,0,1,0,0,42.78,42.78,0,No,0,Yes,Male,Employee Referral,0,1,8,INFRA,0,0,1,0,Chennai,0,1,0,0,0,29,Joined,1
2184108,No,0,0,30,E1,0,1,0,0,0,0,37.5,37.5,0,No,0,No,Female,Employee Referral,0,1,3,ERS,0,0,0,0,Chennai,0,1,0,0,0,30,Joined,1
2188014,No,0,1,0,E2,0,0,1,0,0,0,42.86,42.86,0,No,0,No,Male,Direct,0,0,5,INFRA,0,0,1,0,Noida,0,0,0,1,0,30,Joined,1
2191237,Yes,1,83,60,E2,0,0,1,0,0,0,25,25,0,No,0,No,Male,Direct,0,0,5,AXON,0,0,0,1,Noida,0,0,0,1,0,30,Joined,1
2194323,No,0,1,0,E3,0,0,0,1,0,0,114.82,42.86,-33.5,No,0,No,Male,Direct,0,0,6,INFRA,0,0,1,0,Noida,0,0,0,1,0,31,Joined,1
2205244,No,0,16,60,E1,0,1,0,0,0,0,41.18,0,-29.17,No,0,No,Male,Direct,0,0,7,AXON,0,0,0,1,Noida,0,0,0,1,0,31,Not Joined,0
2205496,Yes,1,32,120,E3,0,0,0,1,0,0,50.97,57,4,No,0,No,Male,Direct,0,0,13,ERS,0,0,0,0,Chennai,0,1,0,0,0,40,Joined,1
2207823,Yes,1,19,30,E2,0,0,1,0,0,0,42.85,42.85,0,No,0,No,Male,Direct,0,0,7,INFRA,0,0,1,0,Noida,0,0,0,1,0,28,Joined,1
2211699,Yes,1,0,0,E2,0,0,1,0,0,0,23.08,15.38,-6.25,No,0,No,Male,Employee Referral,0,1,6,BFSI,0,0,0,0,Chennai,0,1,0,0,0,34,Not Joined,0
2214217,No,0,4,30,E2,0,0,1,0,0,0,-2.17,-2.17,0,No,0,No,Female,Employee Referral,0,1,5,ERS,0,0,0,0,Chennai,0,1,0,0,0,33,Joined,1
2214446,No,0,38,45,E2,0,0,1,0,0,0,42.11,42.11,0,No,0,No,Male,Direct,0,0,13,BFSI,0,0,0,0,Chennai,0,1,0,0,0,25,Joined,1
2215071,No,0,,75,E1,0,1,0,0,0,0,-37,-37,0,No,0,No,Male,Direct,0,0,3,Healthcare,0,1,0,0,Kolkata,0,0,0,0,0,30,Not Joined,0
2216456,No,0,,45,E2,0,0,1,0,0,0,75.78,50.7,-14.27,Yes,1,No,Male,Direct,0,0,6,INFRA,0,0,1,0,Mumbai,0,0,1,0,0,31,Not Joined,0
2217381,No,0,,30,E4,0,0,0,0,1,0,81.1,81.1,0,No,0,No,Male,Direct,0,0,7,INFRA,0,0,1,0,Chennai,0,1,0,0,0,44,Joined,1
2221643,No,0,0,30,E3,0,0,0,1,0,0,-14.91,-14.91,0,No,0,Yes,Male,Employee Referral,0,1,15,INFRA,0,0,1,0,Noida,0,0,0,1,0,44,Joined,1
2221707,Yes,1,18,90,E2,0,0,1,0,0,0,33.33,211.11,133.33,No,0,No,Male,Agency,1,0,6,ERS,0,0,0,0,Hyderabad,0,0,0,0,1,23,Not Joined,0
2222480,No,0,24,30,E2,0,0,1,0,0,0,20.48,23.95,2.88,No,0,No,Male,Direct,0,0,6,INFRA,0,0,1,0,Chennai,0,1,0,0,0,29,Not Joined,0
2222936,Yes,1,10,60,E3,0,0,0,1,0,0,25,29.17,3.33,No,0,No,Male,Employee Referral,0,1,6,INFRA,0,0,1,0,Noida,0,0,0,1,0,32,Joined,1
2223040,Yes,1,53,60,E2,0,0,1,0,0,0,34.64,28.52,-4.55,No,0,No,Male,Direct,0,0,6,AXON,0,0,0,1,Bangalore,1,0,0,0,0,30,Joined,1
2224243,No,0,,60,E1,0,1,0,0,0,0,51.52,-6.67,-38.4,No,0,No,Male,Agency,1,0,6,ERS,0,0,0,0,Bangalore,1,0,0,0,0,31,Not Joined,0
2224425,No,0,0,0,E3,0,0,0,1,0,0,89.58,89.58,0,No,0,No,Male,Direct,0,0,20,ERS,0,0,0,0,Bangalore,1,0,0,0,0,44,Joined,1
2224426,Yes,1,5,0,E2,0,0,1,0,0,0,28.57,28.57,0,Yes,1,Yes,Male,Employee Referral,0,1,6,AXON,0,0,0,1,Bangalore,1,0,0,0,0,33,Joined,1
2225685,No,0,0,0,E3,0,0,0,1,0,0,7.69,-5.79,-12.52,No,0,No,Male,Employee Referral,0,1,13,INFRA,0,0,1,0,Noida,0,0,0,1,0,41,Joined,1
2226215,No,0,4,30,E1,0,1,0,0,0,0,-14.58,-14.58,0,No,0,No,Male,Direct,0,0,2,INFRA,0,0,1,0,Noida,0,0,0,1,0,28,Joined,1
2227339,Yes,1,46,30,E3,0,0,0,1,0,0,22.22,260,194.55,No,0,No,Male,Employee Referral,0,1,13,ERS,0,0,0,0,Chennai,0,1,0,0,0,36,Not Joined,0
2227431,Yes,1,2,75,E3,0,0,0,1,0,0,42.85,42.85,0,No,0,Yes,Male,Employee Referral,0,1,8,INFRA,0,0,1,0,Noida,0,0,0,1,0,30,Joined,1
2233506,No,0,1,90,E2,0,0,1,0,0,0,42.85,42.85,0,No,0,No,Male,Employee Referral,0,1,6,INFRA,0,0,1,0,Noida,0,0,0,1,0,31,Joined,1
2233690,No,0,-1,90,E1,0,1,0,0,0,0,-11.11,-11.11,0,No,0,No,Male,Employee Referral,0,1,2,INFRA,0,0,1,0,Gurgaon,0,0,0,1,0,26,Joined,1
2237763,Yes,1,31,90,E2,0,0,1,0,0,0,7.96,-55.75,-59.02,No,0,No,Male,Employee Referral,0,1,6,INFRA,0,0,1,0,Noida,0,0,0,1,0,32,Joined,1
2237899,Yes,1,4,0,E2,0,0,1,0,0,0,42.86,42.86,0,No,0,No,Female,Employee Referral,0,1,10,INFRA,0,0,1,0,Noida,0,0,0,1,0,34,Joined,1
2238751,Yes,1,54,60,E3,0,0,0,1,0,0,35,31,-2.96,No,0,No,Male,Employee Referral,0,1,9,INFRA,0,0,1,0,Noida,0,0,0,1,0,34,Not Joined,0
2238809,No,0,33,75,E3,0,0,0,1,0,0,31.82,31.82,0,No,0,No,Male,Employee Referral,0,1,7,INFRA,0,0,1,0,Noida,0,0,0,1,0,20,Not Joined,0
2240297,No,0,,60,E1,0,1,0,0,0,0,-18.18,-18.18,0,No,0,No,Male,Employee Referral,0,1,3,ERS,0,0,0,0,Noida,0,0,0,1,0,27,Not Joined,0
2245529,Yes,1,1,30,E2,0,0,1,0,0,0,62.5,12.5,-30.77,No,0,No,Female,Employee Referral,0,1,3,INFRA,0,0,1,0,Noida,0,0,0,1,0,30,Not Joined,0
2247184,No,0,,60,E2,0,0,1,0,0,0,,42.85,,No,0,No,Male,Employee Referral,0,1,6,INFRA,0,0,1,0,Noida,0,0,0,1,0,30,Not Joined,0
2281509,No,0,1,30,E2,0,0,1,0,0,0,42.86,42.86,0,Yes,1,No,Male,Employee Referral,0,1,4,INFRA,0,0,1,0,Gurgaon,0,0,0,1,0,28,Joined,1
2282312,No,0,,45,E2,0,0,1,0,0,0,55,250,125.81,No,0,No,Male,Employee Referral,0,1,7,EAS,0,0,0,0,Noida,0,0,0,1,0,33,Not Joined,0
2282545,No,0,,60,E3,0,0,0,1,0,0,22.22,300,227.27,No,0,No,Male,Direct,0,0,10,ERS,0,0,0,0,Bangalore,1,0,0,0,0,40,Not Joined,0
2282688,No,0,4,30,E1,0,1,0,0,0,0,233.33,150,-25,No,0,No,Female,Direct,0,0,1,ERS,0,0,0,0,Chennai,0,1,0,0,0,25,Joined,1
2282703,No,0,4,30,E1,0,1,0,0,0,0,233.33,150,-25,No,0,No,Female,Direct,0,0,1,ERS,0,0,0,0,Chennai,0,1,0,0,0,25,Joined,1
2282740,No,0,,30,E1,0,1,0,0,0,0,13.33,-12,-22.35,No,0,No,Male,Direct,0,0,4,ERS,0,0,0,0,Bangalore,1,0,0,0,0,31,Not Joined,0
2283257,No,0,2,0,E2,0,0,1,0,0,0,49.89,49.89,0,No,0,Yes,Male,Direct,0,0,8,INFRA,0,0,1,0,Chennai,0,1,0,0,0,34,Joined,1
2286200,Yes,1,5,120,E1,0,1,0,0,0,0,42.86,0,-30,No,0,No,Male,Direct,0,0,5,AXON,0,0,0,1,Noida,0,0,0,1,0,28,Not Joined,0
2286297,Yes,1,105,120,E1,0,1,0,0,0,0,-16.67,-16.67,0,No,0,No,Female,Direct,0,0,3,AXON,0,0,0,1,Kolkata,0,0,0,0,0,34,Joined,1
2286317,No,0,1,60,E3,0,0,0,1,0,0,25,20.83,-3.33,No,0,No,Male,Employee Referral,0,1,6,INFRA,0,0,1,0,Noida,0,0,0,1,0,31,Joined,1
2286381,Yes,1,14,30,E1,0,1,0,0,0,0,-12.5,-12.5,0,No,0,No,Male,Direct,0,0,3,AXON,0,0,0,1,Kolkata,0,0,0,0,0,31,Joined,1
2286467,No,0,0,90,E1,0,1,0,0,0,0,33.5,28.64,-3.64,No,0,No,Male,Employee Referral,0,1,3,AXON,0,0,0,1,Noida,0,0,0,1,0,26,Joined,1
2286651,Yes,1,17,30,E2,0,0,1,0,0,0,40,15,-17.86,No,0,No,Female,Direct,0,0,9,CSMP,0,0,0,0,Gurgaon,0,0,0,1,0,37,Joined,1
2287263,Yes,1,69,75,E2,0,0,1,0,0,0,57.14,46.43,-6.82,No,0,No,Male,Employee Referral,0,1,6,ETS,0,0,0,0,Bangalore,1,0,0,0,0,29,Not Joined,0
2287314,Yes,1,68,60,E1,0,1,0,0,0,0,47.73,42.05,-3.85,No,0,No,Male,Direct,0,0,3,ERS,0,0,0,0,Chennai,0,1,0,0,0,26,Joined,1
2301543,No,0,1,60,E2,0,0,1,0,0,0,37.5,-12.5,-36.36,No,0,No,Male,Direct,0,0,2,INFRA,0,0,1,0,Noida,0,0,0,1,0,33,Joined,1
2302202,Yes,1,7,30,E2,0,0,1,0,0,0,42.86,42.86,0,No,0,No,Male,Direct,0,0,6,INFRA,0,0,1,0,Hyderabad,0,0,0,0,1,32,Joined,1
2302423,Yes,1,,30,E4,0,0,0,0,1,0,-30.95,-28.57,3.45,No,0,No,Male,Direct,0,0,1,INFRA,0,0,1,0,Mumbai,0,0,1,0,0,39,Joined,1
2322849,Yes,1,19,60,E2,0,0,1,0,0,0,50,30.5,-13,No,0,No,Male,Agency,1,0,10,ERS,0,0,0,0,Chennai,0,1,0,0,0,33,Not Joined,0
2322986,Yes,1,84,60,E2,0,0,1,0,0,0,42.86,42.86,0,No,0,No,Male,Agency,1,0,9,ERS,0,0,0,0,Chennai,0,1,0,0,0,33,Joined,1
2328123,No,0,28,30,E1,0,1,0,0,0,0,233.33,233.33,0,No,0,No,Male,Direct,0,0,3,ETS,0,0,0,0,Bangalore,1,0,0,0,0,30,Joined,1
2328274,No,0,,90,E1,0,1,0,0,0,0,38.89,-26.53,-47.1,No,0,No,Male,Direct,0,0,6,ERS,0,0,0,0,Bangalore,1,0,0,0,0,29,Not Joined,0
2328443,No,0,0,30,E3,0,0,0,1,0,0,246.94,206.12,-11.76,No,0,No,Male,Direct,0,0,10,ERS,0,0,0,0,Chennai,0,1,0,0,0,33,Joined,1
2328591,No,0,,30,E3,0,0,0,1,0,0,5,-4,-8.57,No,0,No,Male,Agency,1,0,15,ETS,0,0,0,0,Bangalore,1,0,0,0,0,43,Not Joined,0
2341036,No,0,,30,E2,0,0,1,0,0,0,42.85,42.85,0,No,0,No,Male,Direct,0,0,7,SALES,1,0,0,0,Bangalore,1,0,0,0,0,32,Not Joined,0
2341372,No,0,,30,E4,0,0,0,0,1,0,177.78,138.89,-14,No,0,No,Male,Direct,0,0,14,BFSI,0,0,0,0,Bangalore,1,0,0,0,0,38,Not Joined,0
2344484,No,0,126,30,E1,0,1,0,0,0,0,67.6,74.58,4.17,No,0,No,Male,Agency,1,0,5,ERS,0,0,0,0,Chennai,0,1,0,0,0,27,Not Joined,0
2344907,Yes,1,,90,E2,0,0,1,0,0,0,40,30,-7.14,No,0,No,Male,Direct,0,0,6,AXON,0,0,0,1,Noida,0,0,0,1,0,29,Not Joined,0
2347819,No,0,2,30,E1,0,1,0,0,0,0,14.75,-50.82,-57.14,No,0,No,Female,Agency,1,0,5,ERS,0,0,0,0,Chennai,0,1,0,0,0,29,Joined,1
2348220,No,0,4,30,E1,0,1,0,0,0,0,185.71,90.48,-33.33,No,0,No,Female,Direct,0,0,3,ERS,0,0,0,0,Chennai,0,1,0,0,0,30,Joined,1
2351625,Yes,1,0,30,E2,0,0,1,0,0,0,22.73,15.45,-5.93,No,0,No,Male,Agency,1,0,8,EAS,0,0,0,0,Chennai,0,1,0,0,0,37,Joined,1
2351866,Yes,1,10,30,E1,0,1,0,0,0,0,-15.32,-15.32,0,No,0,No,Male,Employee Referral,0,1,5,ETS,0,0,0,0,Bangalore,1,0,0,0,0,29,Joined,1
2352045,No,0,0,30,E1,0,1,0,0,0,0,-10.89,9.14,22.47,No,0,No,Male,Direct,0,0,1,INFRA,0,0,1,0,Noida,0,0,0,1,0,25,Joined,1
2352197,No,0,,30,E1,0,1,0,0,0,0,30.38,-14.56,-34.47,No,0,No,Male,Direct,0,0,6,ERS,0,0,0,0,Bangalore,1,0,0,0,0,31,Not Joined,0
2352237,No,0,0,0,E1,0,1,0,0,0,0,11.11,-16.67,-25,No,0,No,Female,Direct,0,0,1,INFRA,0,0,1,0,Noida,0,0,0,1,0,24,Joined,1
2354237,No,0,,60,E1,0,1,0,0,0,0,200.93,143.06,-19.23,No,0,No,Male,Direct,0,0,2,ERS,0,0,0,0,Bangalore,1,0,0,0,0,26,Not Joined,0
2354362,Yes,1,0,0,E1,0,1,0,0,0,0,11.11,-16.67,-25,No,0,No,Female,Direct,0,0,1,INFRA,0,0,1,0,Noida,0,0,0,1,0,23,Joined,1
2356722,No,0,,60,E1,0,1,0,0,0,0,46.94,-20.41,-45.83,No,0,No,Male,Direct,0,0,2,ERS,0,0,0,0,Bangalore,1,0,0,0,0,28,Not Joined,0
2356737,No,0,16,30,E1,0,1,0,0,0,0,0,-30.46,-30.46,No,0,No,Male,Direct,0,0,1,ERS,0,0,0,0,Bangalore,1,0,0,0,0,24,Joined,1
2356828,No,0,,90,E2,0,0,1,0,0,0,33.33,-35.33,-51.5,No,0,No,Male,Direct,0,0,9,ERS,0,0,0,0,Bangalore,1,0,0,0,0,32,Not Joined,0
2361174,Yes,1,106,90,E2,0,0,1,0,0,0,38.89,27.31,-8.33,No,0,No,Male,Direct,0,0,7,BFSI,0,0,0,0,Bangalore,1,0,0,0,0,31,Not Joined,0
2364321,Yes,1,90,45,E3,0,0,0,1,0,0,150,48.5,-40.6,No,0,No,Female,Direct,0,0,10,ERS,0,0,0,0,Bangalore,1,0,0,0,0,36,Joined,1
2364483,Yes,1,14,30,E1,0,1,0,0,0,0,-13.33,-13.33,0,No,0,No,Male,Direct,0,0,2,INFRA,0,0,1,0,Noida,0,0,0,1,0,29,Joined,1
2364616,Yes,1,3,30,E2,0,0,1,0,0,0,49.25,42.86,-4.28,No,0,No,Male,Direct,0,0,5,INFRA,0,0,1,0,Chennai,0,1,0,0,0,32,Joined,1
2365129,No,0,4,30,E1,0,1,0,0,0,0,42.86,42.86,0,No,0,No,Male,Direct,0,0,2,INFRA,0,0,1,0,Cochin,0,0,0,0,0,24,Not Joined,0
2368400,No,0,0,30,E1,0,1,0,0,0,0,-6.25,-6.25,0,No,0,No,Male,Direct,0,0,0,ETS,0,0,0,0,Chennai,0,1,0,0,0,32,Joined,1
2368563,No,0,6,30,E1,0,1,0,0,0,0,35.71,42.86,5.26,No,0,No,Female,Agency,1,0,3,ERS,0,0,0,0,Chennai,0,1,0,0,0,28,Joined,1
2372371,No,0,,45,E1,0,1,0,0,0,0,54.24,54.24,0,No,0,No,Male,Direct,0,0,3,ETS,0,0,0,0,Chennai,0,1,0,0,0,26,Not Joined,0
2372840,Yes,1,21,30,E1,0,1,0,0,0,0,-25.52,-25.52,0,No,0,No,Male,Direct,0,0,1,INFRA,0,0,1,0,Chennai,0,1,0,0,0,23,Joined,1
2375525,No,0,,90,E1,0,1,0,0,0,0,-30.18,-0.26,42.86,No,0,No,Male,Agency,1,0,2,ERS,0,0,0,0,Chennai,0,1,0,0,0,26,Not Joined,0
2377978,No,0,36,30,E1,0,1,0,0,0,0,77.78,94.44,9.38,No,0,No,Male,Direct,0,0,1,ERS,0,0,0,0,Bangalore,1,0,0,0,0,24,Joined,1
2377993,No,0,17,30,E1,0,1,0,0,0,0,150,250,40,No,0,No,Female,Direct,0,0,1,ERS,0,0,0,0,Bangalore,1,0,0,0,0,27,Joined,1
2378003,No,0,0,30,E1,0,1,0,0,0,0,25,62.5,30,No,0,No,Male,Direct,0,0,2,ERS,0,0,0,0,Bangalore,1,0,0,0,0,27,Joined,1
2378085,No,0,,45,E1,0,1,0,0,0,0,47.06,14.71,-22,No,0,No,Male,Direct,0,0,2,ERS,0,0,0,0,Chennai,0,1,0,0,0,24,Not Joined,0
2378097,Yes,1,34,30,E1,0,1,0,0,0,0,75,75,0,No,0,No,Male,Direct,0,0,2,ERS,0,0,0,0,Chennai,0,1,0,0,0,25,Joined,1
2378111,No,0,34,30,E1,0,1,0,0,0,0,0,32.81,32.81,No,0,No,Male,Direct,0,0,3,ERS,0,0,0,0,Bangalore,1,0,0,0,0,29,Joined,1
2378829,No,0,0,30,E2,0,0,1,0,0,0,42.86,42.86,0,No,0,No,Male,Direct,0,0,3,INFRA,0,0,1,0,Bangalore,1,0,0,0,0,29,Joined,1
2382818,Yes,1,20,30,E2,0,0,1,0,0,0,25.45,12.01,-10.71,No,0,No,Male,Agency,1,0,7,EAS,0,0,0,0,Chennai,0,1,0,0,0,41,Not Joined,0
2383202,No,0,13,30,E1,0,1,0,0,0,0,50,50,0,No,0,No,Female,Agency,1,0,3,ERS,0,0,0,0,Hyderabad,0,0,0,0,1,32,Joined,1
2398717,No,0,2,30,E2,0,0,1,0,0,0,79.57,60.99,-10.34,No,0,No,Male,Agency,1,0,7,ERS,0,0,0,0,Bangalore,1,0,0,0,0,33,Joined,1
2400028,Yes,1,20,30,E2,0,0,1,0,0,0,157.94,158.93,0.38,No,0,No,Male,Agency,1,0,11,ERS,0,0,0,0,Chennai,0,1,0,0,0,32,Not Joined,0
2403871,No,0,1,30,E1,0,1,0,0,0,0,-45.81,-45.81,0,No,0,No,Male,Direct,0,0,1,INFRA,0,0,1,0,Hyderabad,0,0,0,0,1,26,Joined,1
2407721,Yes,1,6,30,E1,0,1,0,0,0,0,12.5,-53.75,-58.89,No,0,No,Male,Agency,1,0,1,ERS,0,0,0,0,Chennai,0,1,0,0,0,27,Joined,1
2416792,Yes,1,8,60,E2,0,0,1,0,0,0,33.33,26.67,-5,No,0,No,Male,Direct,0,0,7,ERS,0,0,0,0,Chennai,0,1,0,0,0,29,Joined,1
2417191,No,0,,60,E3,0,0,0,1,0,0,-40.48,,,No,0,No,Male,Direct,0,0,7,INFRA,0,0,1,0,Chennai,0,1,0,0,0,32,Not Joined,0
2417836,Yes,1,42,45,E2,0,0,1,0,0,0,7.37,7.37,0,No,0,No,Male,Employee Referral,0,1,4,AXON,0,0,0,1,Bangalore,1,0,0,0,0,26,Joined,1
2419759,Yes,1,12,60,E1,0,1,0,0,0,0,208.33,208.33,0,No,0,No,Male,Direct,0,0,2,ERS,0,0,0,0,Chennai,0,1,0,0,0,29,Joined,1
2424526,Yes,1,16,90,E2,0,0,1,0,0,0,11.11,-22.22,-30,No,0,No,Male,Agency,1,0,9,ERS,0,0,0,0,Chennai,0,1,0,0,0,30,Joined,1
2437412,No,0,,60,E2,0,0,1,0,0,0,-15.78,20.31,42.86,No,0,No,Female,Agency,1,0,6,ERS,0,0,0,0,Chennai,0,1,0,0,0,28,Not Joined,0
2437568,Yes,1,,60,E3,0,0,0,1,0,0,67.83,39.86,-16.67,No,0,No,Male,Direct,0,0,10,EAS,0,0,0,0,Hyderabad,0,0,0,0,1,35,Not Joined,0
2437820,Yes,1,14,60,E3,0,0,0,1,0,0,31.43,20,-8.7,No,0,No,Male,Employee Referral,0,1,4,INFRA,0,0,1,0,Noida,0,0,0,1,0,29,Joined,1
2440646,Yes,1,103,45,E2,0,0,1,0,0,0,42.86,42.86,0,No,0,No,Male,Direct,0,0,6,ETS,0,0,0,0,Bangalore,1,0,0,0,0,35,Joined,1
2440672,Yes,1,69,45,E2,0,0,1,0,0,0,62.5,62.5,0,No,0,No,Male,Direct,0,0,9,ETS,0,0,0,0,Hyderabad,0,0,0,0,1,36,Joined,1
2440753,Yes,1,37,30,E2,0,0,1,0,0,0,62.5,37.5,-15.38,No,0,No,Male,Direct,0,0,6,ETS,0,0,0,0,Hyderabad,0,0,0,0,1,29,Not Joined,0
2441165,No,0,7,30,E2,0,0,1,0,0,0,30,60,23.08,No,0,No,Male,Agency,1,0,4,INFRA,0,0,1,0,Chennai,0,1,0,0,0,31,Joined,1
2441279,No,0,2,60,E2,0,0,1,0,0,0,32.53,19.28,-10,No,0,No,Male,Employee Referral,0,1,6,BFSI,0,0,0,0,Bangalore,1,0,0,0,0,31,Not Joined,0
2442101,Yes,1,38,45,E2,0,0,1,0,0,0,42.86,42.86,0,No,0,No,Male,Employee Referral,0,1,3,INFRA,0,0,1,0,Noida,0,0,0,1,0,27,Joined,1
2444384,Yes,1,43,60,E1,0,1,0,0,0,0,37.25,33.33,-2.86,No,0,No,Male,Direct,0,0,3,EAS,0,0,0,0,Chennai,0,1,0,0,0,25,Not Joined,0
2444496,Yes,1,60,60,E2,0,0,1,0,0,0,38.89,11.11,-20,No,0,No,Male,Direct,0,0,6,ETS,0,0,0,0,Bangalore,1,0,0,0,0,31,Not Joined,0
2445042,No,0,3,30,E2,0,0,1,0,0,0,42.86,42.86,0,No,0,No,Male,Direct,0,0,5,INFRA,0,0,1,0,Noida,0,0,0,1,0,27,Joined,1
2448333,No,0,,30,E1,0,1,0,0,0,0,16.21,0.49,-13.53,No,0,No,Male,Agency,1,0,5,ERS,0,0,0,0,Chennai,0,1,0,0,0,29,Not Joined,0
2452418,Yes,1,32,30,E2,0,0,1,0,0,0,45.3,19.66,-17.65,No,0,Yes,Male,Agency,1,0,7,ETS,0,0,0,0,Bangalore,1,0,0,0,0,30,Joined,1
2452436,Yes,1,23,45,E2,0,0,1,0,0,0,29.11,19.68,-7.3,No,0,No,Male,Agency,1,0,8,ERS,0,0,0,0,Bangalore,1,0,0,0,0,34,Joined,1
2456311,No,0,,30,E1,0,1,0,0,0,0,28.57,28.57,0,No,0,No,Male,Employee Referral,0,1,4,CORP,0,0,0,0,Noida,0,0,0,1,0,29,Joined,1
2457480,Yes,1,67,60,E3,0,0,0,1,0,0,25,32.68,6.14,No,0,No,Male,Agency,1,0,6,INFRA,0,0,1,0,Noida,0,0,0,1,0,33,Joined,1
